product,forecast_boxes,actual_boxes,abs_error,pct_error,error_rank
**Small Stops**,1,0.0,1.0,100.0,71.0
1. Harbour View (2021) (565-3109),1,0.0,1.0,100.0,71.0
12. Shoppers - Syd. River,1,0.0,1.0,100.0,71.0
13. Shoppers - Prince St.,17,0.0,17.0,100.0,49.0
14.Colbourne - No Frills,17,0.0,17.0,100.0,49.0
15. Shoppers - Prince St.,16,13.0,3.0,23.076923076923077,64.0
16. Sexton's Pharmasave,22,0.0,22.0,100.0,43.5
3. Northside General,5,0.0,5.0,100.0,60.0
5.Foodland - Sydney Mines,3,4.0,1.0,25.0,71.0
6.Superstore - North Sydney,3,0.0,3.0,100.0,64.0
9. Shoppers - North Sydney,21,0.0,21.0,100.0,45.0
All Grain Nova,15,74.0,59.0,79.72972972972973,32.5
All Grain Nova,18,74.0,56.0,75.67567567567568,35.5
All Grain Nova,13,74.0,61.0,82.43243243243244,30.0
All Grain Nova,15,74.0,59.0,79.72972972972973,32.5
ED 18 LG,2,2.0,0.0,0.0,75.5
ED 18 XL,25,0.0,25.0,100.0,41.0
ED Jum,4,4.0,0.0,0.0,75.5
Lg Loose,35,130.0,95.0,73.07692307692307,15.0
Lg Loose,29,130.0,101.0,77.6923076923077,14.0
Lob 30 Lg,19,21.0,2.0,9.523809523809524,67.0
Lob Lg,17,0.0,17.0,100.0,49.0
Lob Lrg,56,0.0,56.0,100.0,35.5
Lob br,31,27.0,4.0,14.814814814814813,61.0
Lrg 30 pack Nova,273,578.0,305.0,52.7681660899654,7.0
Lrg 30 pack Nova,265,578.0,313.0,54.15224913494809,6.0
Lrg 30 pack Nova,366,578.0,212.0,36.67820069204152,10.5
Lrg 30 pack Nova,366,578.0,212.0,36.67820069204152,10.5
MP Coldspring F.Rng (B),77,196.0,119.0,60.71428571428571,12.0
MP Coldspring F.Rng (B),115,196.0,81.0,41.3265306122449,20.0
MP Coldspring F.Rng (B),82,196.0,114.0,58.16326530612245,13.0
MP Free Run (B),99,150.0,51.0,34.0,37.0
MP Free Run (B),147,150.0,3.0,2.0,64.0
MP Om 12pk (W),15,84.0,69.0,82.14285714285714,25.0
MP Om 12pk (W),18,84.0,66.0,78.57142857142857,27.0
MP Om 6pk (W),18,0.0,18.0,100.0,47.0
MP Om3 12pk (W),14,25.0,11.0,44.0,57.0
MP Om3 6pk (W),1,0.0,1.0,100.0,71.0
Med Loose,3,6.0,3.0,50.0,64.0
Med Loose,3,6.0,3.0,50.0,64.0
Nova 6 Pack,3,14.0,11.0,78.57142857142857,57.0
Nova 6 Pack,3,14.0,11.0,78.57142857142857,57.0
Nova Jumbo,24,90.0,66.0,73.33333333333333,27.0
Nova Jumbo,29,90.0,61.0,67.77777777777779,30.0
Nova Jumbo,29,90.0,61.0,67.77777777777779,30.0
Nova Jumbo,24,90.0,66.0,73.33333333333333,27.0
OC 30 Lrg,16,0.0,16.0,100.0,52.0
OC Lg Cozy Coop,1,0.0,1.0,100.0,71.0
OC Lg Free Run (W),13,39.0,26.0,66.66666666666666,40.0
OC Lg Free Run (W),27,39.0,12.0,30.76923076923077,54.0
OC Lg Free Run (W),16,39.0,23.0,58.97435897435898,42.0
OC Med,4959,0.0,4959.0,100.0,1.0
OC Om Free Run (W),23,80.0,57.0,71.25,34.0
OC Om3 Free Run (W),4159,4770.0,611.0,12.80922431865828,2.0
OC Om3 Free Run (W),4405,4770.0,365.0,7.651991614255765,3.0
OC Org F.Rng (B),60,87.0,27.0,31.03448275862069,39.0
OC Org F.Rng (B),42,87.0,45.0,51.724137931034484,38.0
Wal GV Lg,425,660.0,235.0,35.60606060606061,8.5
Wal GV Lg,425,660.0,235.0,35.60606060606061,8.5
Wal GV Lg,309,660.0,351.0,53.18181818181819,4.0
Wal GV Lg,310,660.0,350.0,53.03030303030303,5.0
Wal GV Xlrg,136,66.0,70.0,106.06060606060606,23.5
Wal GV Xlrg,136,66.0,70.0,106.06060606060606,23.5
Wal GV Xlrg,88,66.0,22.0,33.33333333333333,43.5
Wal GV Xlrg,86,66.0,20.0,30.303030303030305,46.0
Wal Nova 18's Lg,228,239.0,11.0,4.602510460251046,57.0
Wal Nova 18's Lg,228,239.0,11.0,4.602510460251046,57.0
Wal Nova 18's Lg,147,239.0,92.0,38.49372384937239,16.5
Wal Nova 18's Lg,147,239.0,92.0,38.49372384937239,16.5
Wal Nova Brn,12,94.0,82.0,87.2340425531915,18.5
Wal Nova Brn,23,94.0,71.0,75.53191489361703,21.5
Wal Nova Brn,12,94.0,82.0,87.2340425531915,18.5
Wal Nova Brn,23,94.0,71.0,75.53191489361703,21.5
Wal Nova Xlg Brn,2,18.0,16.0,88.88888888888889,52.0
Wal Nova Xlg Brn,2,18.0,16.0,88.88888888888889,52.0
XLrg 30 pack Nova,2,3.0,1.0,33.33333333333333,71.0
