week,year,day,product,forecast_boxes,actual_boxes,difference,abs_difference,percent_error
28,2025,Mon,All Grain Nova,4,0.0,4.0,4.0,0.0
28,2025,Mon,All Grain Nova,4,0.0,4.0,4.0,0.0
28,2025,Mon,Lrg 30 pack Nova,406,0.0,406.0,406.0,0.0
28,2025,Mon,Lrg 30 pack Nova,406,0.0,406.0,406.0,0.0
28,2025,Mon,Nova 6 Pack,0,0.0,0.0,0.0,0.0
28,2025,Mon,Nova 6 Pack,0,0.0,0.0,0.0,0.0
28,2025,Mon,OC 30 Lrg,30,0.0,30.0,30.0,0.0
28,2025,Mon,OC 30 Lrg,30,0.0,30.0,30.0,0.0
28,2025,Mon,OC Br,1,0.0,1.0,1.0,0.0
28,2025,Mon,OC Br,1,0.0,1.0,1.0,0.0
28,2025,Mon,OC Lg,7,0.0,7.0,7.0,0.0
28,2025,Mon,OC Lg,7,0.0,7.0,7.0,0.0
28,2025,Mon,OC Lg Cozy Coop,2,0.0,2.0,2.0,0.0
28,2025,Mon,OC Lg Cozy Coop,2,0.0,2.0,2.0,0.0
28,2025,Mon,OC Med,1,0.0,1.0,1.0,0.0
28,2025,Mon,OC Med,1,0.0,1.0,1.0,0.0
28,2025,Mon,OC Xlg,3,0.0,3.0,3.0,0.0
28,2025,Mon,OC Xlg,3,0.0,3.0,3.0,0.0
28,2025,Mon,XLrg 30 pack Nova,8,0.0,8.0,8.0,0.0
28,2025,Mon,XLrg 30 pack Nova,8,0.0,8.0,8.0,0.0
28,2025,Mon,nan,0,0.0,0.0,0.0,0.0
28,2025,Mon,nan,0,0.0,0.0,0.0,0.0
28,2025,Mon,nan,0,0.0,0.0,0.0,0.0
28,2025,Mon,nan,0,0.0,0.0,0.0,0.0
28,2025,Mon,nan,0,0.0,0.0,0.0,0.0
28,2025,Mon,nan,0,0.0,0.0,0.0,0.0
28,2025,Mon,nan,0,0.0,0.0,0.0,0.0
28,2025,Mon,nan,0,0.0,0.0,0.0,0.0
28,2025,Mon,nan,0,0.0,0.0,0.0,0.0
28,2025,Mon,nan,0,0.0,0.0,0.0,0.0
28,2025,Mon,pcs,0,0.0,0.0,0.0,0.0
28,2025,Mon,pcs,0,0.0,0.0,0.0,0.0
28,2025,Tues,All Grain Nova,0,0.0,0.0,0.0,0.0
28,2025,Tues,All Grain Nova,0,0.0,0.0,0.0,0.0
