week,year,day,product,forecast_boxes
30,2025,Mon,All Grain Nova,4
30,2025,Mon,Lrg 30 pack Nova,462
30,2025,Mon,Nova 6 Pack,0
30,2025,Mon,OC 30 Lrg,21
30,2025,Mon,OC Br,0
30,2025,Mon,OC Lg,7
30,2025,Mon,OC Lg Cozy Coop,1
30,2025,Mon,OC Med,0
30,2025,Mon,OC Xlg,1
30,2025,Mon,XLrg 30 pack Nova,4
30,2025,Mon,nan,0
30,2025,Mon,nan,0
30,2025,Mon,nan,0
30,2025,Mon,nan,0
30,2025,Mon,nan,0
30,2025,Mon,pcs,0
30,2025,Tues,All Grain Nova,0
30,2025,Tues,Lrg 30 pack Nova,0
30,2025,Tues,Nova 6 Pack,0
30,2025,Tues,OC 30 Lrg,82
30,2025,Tues,OC Br,2
30,2025,Tues,OC Lg,21
30,2025,Tues,OC Lg Cozy Coop,3
30,2025,Tues,OC Med,1
30,2025,Tues,OC Xlg,2
30,2025,Tues,XLrg 30 pack Nova,0
30,2025,Tues,nan,0
30,2025,Tues,nan,0
30,2025,Tues,nan,0
30,2025,Tues,nan,0
30,2025,Tues,nan,0
30,2025,Tues,pcs,0
30,2025,Wed,All Grain Nova,0
30,2025,Wed,Lrg 30 pack Nova,0
30,2025,Wed,Nova 6 Pack,0
30,2025,Wed,OC 30 Lrg,45
30,2025,Wed,OC Br,18
30,2025,Wed,OC Lg,49
30,2025,Wed,OC Lg Cozy Coop,0
30,2025,Wed,OC Med,0
30,2025,Wed,OC Xlg,12
30,2025,Wed,XLrg 30 pack Nova,0
30,2025,Wed,nan,0
30,2025,Wed,nan,0
30,2025,Wed,nan,0
30,2025,Wed,nan,0
30,2025,Wed,nan,0
30,2025,Wed,pcs,0
30,2025,Thurs,All Grain Nova,4
30,2025,Thurs,Lrg 30 pack Nova,611
30,2025,Thurs,Nova 6 Pack,4
30,2025,Thurs,OC 30 Lrg,39
30,2025,Thurs,OC Br,2
30,2025,Thurs,OC Lg,22
30,2025,Thurs,OC Lg Cozy Coop,1
30,2025,Thurs,OC Med,1
30,2025,Thurs,OC Xlg,2
30,2025,Thurs,XLrg 30 pack Nova,4
30,2025,Thurs,nan,0
30,2025,Thurs,nan,0
30,2025,Thurs,nan,0
30,2025,Thurs,nan,0
30,2025,Thurs,nan,0
30,2025,Thurs,pcs,0
30,2025,Fri,All Grain Nova,0
30,2025,Fri,Lrg 30 pack Nova,0
30,2025,Fri,Nova 6 Pack,0
30,2025,Fri,OC 30 Lrg,106
30,2025,Fri,OC Br,3
30,2025,Fri,OC Lg,19
30,2025,Fri,OC Lg Cozy Coop,5
30,2025,Fri,OC Med,2
30,2025,Fri,OC Xlg,5
30,2025,Fri,XLrg 30 pack Nova,0
30,2025,Fri,nan,0
30,2025,Fri,nan,0
30,2025,Fri,nan,0
30,2025,Fri,nan,0
30,2025,Fri,nan,0
30,2025,Fri,pcs,0
