product,forecast_boxes,file,day,actual_boxes,week_num,year,abs_error,pct_error
ED 18 LG,4,Week 24 Loading Slip 2025.xlsx,Mon,8.0,24.0,2025.0,4.0,50.0
ED 18 XL,25,Week 24 Loading Slip 2025.xlsx,Mon,32.0,24.0,2025.0,7.0,21.875
ED Jum,15,Week 24 Loading Slip 2025.xlsx,Mon,21.0,24.0,2025.0,6.0,28.57142857142857
Eyk Br,3,Week 24 Loading Slip 2025.xlsx,Mon,4.0,24.0,2025.0,1.0,25.0
Eyk Lg,4,Week 24 Loading Slip 2025.xlsx,Mon,5.0,24.0,2025.0,1.0,20.0
Eyk Xlg,4,Week 24 Loading Slip 2025.xlsx,Mon,5.0,24.0,2025.0,1.0,20.0
Lg Loose,15,Week 24 Loading Slip 2025.xlsx,Mon,20.0,24.0,2025.0,5.0,25.0
Lob 30 Lg,20,Week 24 Loading Slip 2025.xlsx,Mon,22.0,24.0,2025.0,2.0,9.090909090909092
Lob Lg,69,Week 24 Loading Slip 2025.xlsx,Mon,72.0,24.0,2025.0,3.0,4.166666666666666
Lob Xlg,3,Week 24 Loading Slip 2025.xlsx,Mon,6.0,24.0,2025.0,3.0,50.0
Lob br,2,Week 24 Loading Slip 2025.xlsx,Mon,5.0,24.0,2025.0,3.0,60.0
Lrg 30 pack Nova,74,Week 24 Loading Slip 2025.xlsx,Mon,34.0,24.0,2025.0,40.0,117.64705882352942
Med Loose,4,Week 24 Loading Slip 2025.xlsx,Mon,3.0,24.0,2025.0,1.0,33.33333333333333
Nova Jumbo,1,Week 24 Loading Slip 2025.xlsx,Mon,1.0,24.0,2025.0,0.0,0.0
OC 30 Lrg,28,Week 24 Loading Slip 2025.xlsx,Mon,30.0,24.0,2025.0,2.0,6.666666666666667
OC Br,1,0,0,0.0,0.0,0.0,1.0,100.0
OC Lg,6,Week 24 Loading Slip 2025.xlsx,Mon,11.0,24.0,2025.0,5.0,45.45454545454545
OC Lg Cozy Coop ,1,Week 24 Loading Slip 2025.xlsx,Mon,1.0,24.0,2025.0,0.0,0.0
OC Med,1,Week 24 Loading Slip 2025.xlsx,Mon,1.0,24.0,2025.0,0.0,0.0
OC Xlg,1,Week 24 Loading Slip 2025.xlsx,Mon,1.0,24.0,2025.0,0.0,0.0
Wal GV Lg,33,Week 24 Loading Slip 2025.xlsx,Mon,21.0,24.0,2025.0,12.0,57.14285714285714
Wal GV Xlrg,10,Week 24 Loading Slip 2025.xlsx,Mon,2.0,24.0,2025.0,8.0,400.0
Wal Nova 18's Lg,32,Week 24 Loading Slip 2025.xlsx,Mon,11.0,24.0,2025.0,21.0,190.9090909090909
Wal Nova Brn,2,Week 24 Loading Slip 2025.xlsx,Mon,3.0,24.0,2025.0,1.0,33.33333333333333
