product,forecast_boxes,file,day,actual_boxes,week_num,year,abs_error,pct_error
All Grain Nova,15,Week 32 Loading Slip 2025.xlsx,Mon,19.0,32.0,2025.0,4.0,21.052631578947366
Lrg 30 pack Nova,449,Week 32 Loading Slip 2025.xlsx,Mon,608.0,32.0,2025.0,159.0,26.151315789473685
Nova 6 Pack,3,Week 32 Loading Slip 2025.xlsx,Mon,4.0,32.0,2025.0,1.0,25.0
Nova Jumbo,21,Week 32 Loading Slip 2025.xlsx,Mon,30.0,32.0,2025.0,9.0,30.0
Wal GV Lg,454,Week 32 Loading Slip 2025.xlsx,Mon,555.0,32.0,2025.0,101.0,18.1981981981982
Wal GV Xlrg,150,Week 32 Loading Slip 2025.xlsx,Mon,315.0,32.0,2025.0,165.0,52.38095238095239
Wal Nova 18's Lg,274,Week 32 Loading Slip 2025.xlsx,Mon,550.0,32.0,2025.0,276.0,50.18181818181818
Wal Nova Brn,32,Week 32 Loading Slip 2025.xlsx,Mon,60.0,32.0,2025.0,28.0,46.666666666666664
Wal Nova Xlg Brn,4,Week 32 Loading Slip 2025.xlsx,Mon,8.0,32.0,2025.0,4.0,50.0
XLrg 30 pack Nova,16,0,0,0.0,0.0,0.0,16.0,100.0
